0.0,0.0,0.0,0.0,0.0,-1.0
0.1,0.0,0.0,0.0,0.0,-1.0
39.03333333333333,30.0,0.0,0.0,0.0,-1.0
77.96666666666665,60.0,0.0,0.0,0.0,-1.0
116.89999999999998,90.0,0.0,0.0,0.0,-1.0
155.83333333333331,120.0,0.0,0.0,0.0,-1.0
194.76666666666665,150.0,0.0,0.0,0.0,-1.0
233.69999999999996,180.0,0.0,0.0,0.0,-1.0
272.6333333333333,210.0,0.0,0.0,0.0,-1.0
311.56666666666666,240.0,0.0,0.0,0.0,-1.0
350.5,270.0,0.0,0.0,0.0,-1.0
350.5,270.0,0.0,0.0,0.0,-1.0
320.5,270.0,0.0,0.0,0.0,-1.0
290.5,270.0,0.0,0.0,0.0,-1.0
290.5,304.25,0.0,0.0,0.0,-1.0
290.5,338.5,0.0,0.0,0.0,-1.0
290.5,338.5,0.0,10.0,0.0,-1.0
290.5,338.5,0.0,90.0,1.0,0.0
290.5,338.5,0.0,45.0,0.0,0.0
290.5,338.5,0.0,0.0,0.0,0.0
290.5,304.25,0.0,0.0,0.0,0.0
290.5,270.0,0.0,0.0,0.0,0.0
320.5,270.0,0.0,0.0,0.0,0.0
350.5,270.0,0.0,0.0,0.0,0.0
